,categories,full_description,id,languages,name,prohibited_content,short_description,topic
20,"['academia', 'activism', 'books', 'journalism', 'tech']","Da ""Geht gut miteinander um"" einfach gesagt als getan ist, haben wir eine (nicht vollständige) Liste von Verhaltensweisen aufgestellt, die zu einer Löschung von Toots und zu einer Blockung von Accounts führen können, wenn die Probleme fortbestehen. Insbesondere tolerieren wir nicht:


- Belästigung, Stalking, Doxxing
- Rassismus, Sexismus, Beschimpfungen oder deren Befürwortung
- Diskriminierung von Geschlechtern und sexuellen Minderheiten oder deren Befürwortung
- Gewalttätige nationalistische Propaganda, Nazi-Symbolismus oder Förderung der Ideologie des Nationalsozialismus
- Leute kontaktieren, die klar gemacht haben, dass sie keinen Kontakt wollen. Dogpiling
- Nicht markierter sexueller Inhalt, Gewaltdarstellungen oder Werbung
- Nicht getaggte oder automatisierte oder übermäßige Werbung
- Bots, die ohne ihre expliziten Anfragen mit Nutzer interagieren

Bitte melden Sie Verhalten, das Sie stört. Das schließt Verhalten von anderen Instanzen mit ein - wir sind sehr gerne bereit, mit Asshole-Instanzen die Verbindung zu unterbrechen.

Basierend auf dem ""About"" von chaos.social verfügbar in deren Github-Repository.


Since ""Be excellent to each other"" is much easier said than done, we have a (non-exhaustive) list of behaviours that may lead to deletion of toots, and silencing or suspension of accounts, if problems persist. In particular, we do not tolerate:

- Harrassment, stalking, doxxing

- Racism, sexism, verbal abuse or advocation thereof

- Discrimination against gender and sexual minorities, or advocation thereof

- Violent nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism

- Contacting people who made clear they want no contact. Dogpiling/brigading

- Untagged sexual content, gore, or advertisement

- Untagged, or automated, or excessive advertisement

- Bots interacting with users without their explicit requests


Please report behaviour that bothers you. That includes behaviour from other instances - we are very willing stop federating with asshole instances.


(Based on the about of chaos.social)
",5a5084f1e92cf74aeed34b54,"['en', 'fr', 'de']",mastodonten.de,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","mastodonten.de ist eine Mastodon Instanz offen für alle netten Leute. :-)
mastodonten.de is a Mastodon instance open to nice people",
21,[],"Beer and free software lovers.
 #nsfw allowed
Our server is hosted in France
",58e11ba6831c8311929844ab,"['en', 'fr', 'it', 'es']",hostux.social,"['illegalContentLinks', 'spam', 'advertising']",Beer and free software lovers - Friendly atmosphere - Our server is hosted in France. #nsfw allowed,
22,['academia'],"A Mastodon instance for academics

Scholar Social is meant for: researchers, grad students, undergrads, academically inclined high schoolers, educators of all levels, journal editors, research assistants, librarians, archivists, administrators—anyone involved in academia who is willing to engage with others respectfully.

""A Mastodon profile you can be proud to put on the last slide of a presentation at a conference""",5902589f0c4b3c46f854d273,['en'],scholar.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","An instance for researchers, teachers and students at all levels, one that you can be proud to put on the last slide of a presentation at a conference","Academia, Research, Teachers, Students"
23,[],"CMX.IM是长毛象(Mastodon)的一个中文实例。Mastodon是一个开源的、符合GNU Social规范的去中心化社交网络，整个长毛象社区是由无数实例组成的。注册本社区后你不仅可以与本实例内的用户互动，并且可以与来自世界各地的其他实例中的用户无缝连接。 

长毛象中文站主题为社交，科技，编程及生活。发言内容只要没有明显违法内容均不禁止。无论你的兴趣点是什么，我们欢迎友好、热情、乐于分享的朋友。 

如果你不喜欢本站的主题或发言规则，可以从Instance List中选择更适合你的实例。记住，除非你选择实例明确阻隔了其他某个或某些实例，你永远可以和整个Mastodon社区的用户交互。记得到时候 @haisenberg@cmx.im 哦。 

Mastodon的去中心化设计防止了社交数据被少数公司或团体垄断的风险，也大大增加了屏蔽及过滤的难度。如果你有兴趣动手搭建一个实例，请参考Github 官方文档。 

你可以随时备份自己的微博并申请转移到其他实例中而无需担心因为实例运营者的问题导致的数据丢失。如果你有更多关于Mastodon的问题，请参考Github 官方FAQ。 

本站原则上只使用官方Stable代码，所有包括汉化等问题将在Github上提交。有编程经验的朋友不妨加入我们一起来让长毛象更萌，更可爱吧。",59c114fce760bf4183ed1668,"['zh', 'en', 'ja']",cmx.im,"['nudity_nocw', 'pornography_nocw', 'racism', 'illegalContentLinks', 'spam', 'hateSpeeches', 'harrassment', 'spoilers_nocw']","Mastodon Chinese Community Host
长毛象中文站","General, Anime, Tech, IT, Programming, 中文, 漫画, 技术, 编程"
24,['tech'],Instance that focuses on Linux and Tech related conversations,58fb79f63765484c460d738e,['en'],linuxrocks.online,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'spoilers_nocw']",Linux and Tech related conversations,Linux Tech Geek Games Gaming 
25,['tech'],"bsd.network is a *BSD-themed Mastodon Instance. General use is encouraged, and everyone is welcome as long as you follow our code of conduct! ",5a4b8e1ae92cf74aeed34b44,['en'],bsd.network,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']","by *BSD, for *BSD, on *BSD.  and for anyone.","bsd, openbsd, freebsd, netbsd, social, tech, security, nerdery"
26,['furry'],"This instance is focused around the furry community, and is open to anyone interested in it. It was created by @Tiwy57 originally for a small group of furry friends, but thought it might as well be open to all fluffies and scalies !",58e57d4741cd4f36ac1b6ec3,"['en', 'fr']",meow.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks']","This instance is focused around the furry community, and is open to anyone interested in it.",Furry
27,"['academia', 'books', 'games', 'tech']","The Wandering Shop is a Mastodon instance initially geared for the science fiction and fantasy community but open to anyone. We want our 'local' timeline to have the feel of a coffee shop at a good convention: tables full of friendly conversation on a wide variety of topics. We welcome everyone who wants to participate, so long as you're willing to abide by our code of conduct.",58f56fa0762338151ee6db68,['en'],wandering.shop,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",The Wandering Shop is a Mastodon instance initially geared for the science fiction and fantasy community but open to anyone.,
28,"['academia', 'activism', 'books', 'journalism', 'lgbt', 'poc', 'tech']","A Mastodon instance for scholars in Science, Technology, Engineering, and Mathematics (STEM) and all yearning to learn. We do not silence or block any instances. Some Unique Features:  Inline math Latex support - Use \ ( and \ ) for inline LaTeX, and \ [ and \ ] for display mode.. 65,535 character limit for toots (usually 500). 65,535 character limit for profile bio (usually 160). Full text searches - usually you can only search hashtags and usernames. Halcyon / Twitter clone front-end - Want the interface to look exactly like the Twitter interface? After you signed up just go here to login: https://halcyon.qoto.org . PeerTube - We host our own PeerTube server with open registration for up to 100MB, but all of our active users get unlimited quotas. Sign up here: https://video.qoto.org .Professionally hosted with nightly backups. light modern theme with full width columns (not fixed). Several extra themes - including mastodon default and mastodon default with full width columns (not fixed). We will never advertise on QOTO or sell your information to third-parties",5b3d53b6eb7d1268832db103,['en'],qoto.org,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","A Mastodon instance for scholars in Science, Technology, Engineering, and Mathematics (STEM) and all who yearn to learn.","STEM (Science, Technology, Enginnering, Mathematics)"
29,"['activism', 'art', 'books', 'tech']","A friendly, diverse instance that focuses on creating a better future. Topics include Anarchism, Anticapitalism, technology, ecology, social justice, and much more - or anything you like!

We aim to provide a positive, inclusive space for people from different backgrounds and opinions that want to make the world a better place, one smell step at a time. Or just hang out with other cool people.

We are inspired by the solarpunk genre of art and literature.",5aeffa8cc8ec996cd1ee7de3,"['en', 'eo']",sunbeam.city,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",A general instance with a solarpunk theme. Anarchist and green.,
30,[],"Queer Party is a queer-oriented Mastodon instance which generally aligns itself with the policies and goals of other instances such as mastodon.social, awoo.space and icosahedron.website, aiming as much as possible to be a safe space for its users. Federation is fully open, and operated in blacklist mode only, with the list being publicly available.",58e7f68e8313ad45cf80418b,['en'],queer.party,"['pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",Queer Party is a queer-oriented Mastodon instance which generally aligns itself with the policies and goals of a few other instances.,"Queerness encouraged, all are welcome."
31,['games'],"Elekk is a Mastodon instance for games of any type - from chess to World of Warcraft. We are explicitly feminist and inclusionary, and reject Gamergate and the culture that spawned it.",5908ab11e50812648e3e2309,['en'],elekk.xyz,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",Gaming without the 'gate,Gaming
32,[],"Scifi.Fyi is a general-purpose mastodon instance that seeks to foster a welcoming and inclusive community!

We run glitch-soc, a version of mastodon with experimental new features! ",58e999acdcd4660abedbef28,['en'],scifi.fyi,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Scifi.Fyi is a general-purpose mastodon instance that seeks to foster a welcoming and inclusive community!,General with a sprinkle of science fiction
33,"['art', 'games']","We are here to host the tabletop community as a whole. We welcome everyone that wants to be part of the community, casual gamers, hobbists, mini painters, LARPers, designers, publishers, distributor, RPG caracters, artists, writers, vlogers, podcasters, reviewers, actual game and more.

This is meant to be a positive and safe space for people to enjoy each other's ideas, opinion and have fun. To keep tabletop.social that way, the Code of Conduct, Rules and Etiquette will be applied and enforced thoroughly.",5ae084b4c8ec996cd1ee7d7d,['en'],tabletop.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']","We host the tabletop community: casual gamers, hobbists, LARPers, game designers & publishers, artists, writer, vlogers, podcasters, reviewers, etc.","tabletop, boardgame, game design, "
34,"['art', 'furry', 'lgbt']","The Vulpine Club is a community for foxes and their associates, friends, fans, and other furry (and non-furry) creatures. We're pretty friendly and welcoming. =^^=",58e846688313ad45cf80422e,['en'],vulpine.club,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",foxes and fox-like creatures,"general, furry, queer, LGBTQ, foxes"
35,[],This space left blank for now,58e113f311c1a56b775b3933,['en'],awoo.space,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment', 'spoilers_nocw']",Awoo.space is a smaller community that believes in diplomatic moderation to help limit harm and encourage growth.,
36,['activism'],"General Rules
    In particular, all forms of transphobia, misogyny, homophobia, racism, fat-shaming, ableism, engaging in harassment, and any kind of oppressive slurs are strictly prohibited, and will be dealt with in due course.
    The server is under United States jurisdiction, as such US internet laws apply here. (For better or worse)
    Porn and nudity are allowed, with NSFW tag on.
    Content Warning HAS to be used for the following :
        violence (text and medias)
        stories including *phobias (text and medias)
        sexual content (text and medias)
    If someone isn't following the rules, please report their toot. The rules on this instance are not strict and exist simply to protect users from harassment",596e4934c952ef2e7ab4ecc4,['en'],anarchism.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Anarchism Space is a Mastodon instance for left anarchists. No ancaps or primmies,anarchist
37,[],"Mastodon.at is a public Mastodon instance that's been running since April of 2017. We federate with other instances unless their community values are overwhelmingly incompatible with our Terms of Service. Our primary languages are English and German, but other languages are more than welcome.

Mastodon.at is maintained by an experienced sysadmin. User data is backed up to multiple locations at least once every hour to avoid data loss. We are hosted in France, with an additional server location in São Paulo, Brazil.",58e5368fe463473fb7236bdd,"['en', 'de']",mastodon.at,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",Mastodon.at is a public Mastodon instance and federates with most instances in the Fediverse. Online since April 2017.,
38,['lgbt'],We welcome all LGBT+ people and allies all around the world! We want to make this a friendly place and we try our best to help members out if they ever need. :),5901c5130c4b3c46f854d23d,['en'],lgbt.io,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",We welcome all LGBT+ people and allies all around the world! :),LGBT
39,[],"Hello everyone! Basic social rules apply here, and the moderation follows up on each report. Every rule violation can end up in an account suspension.

- In particular, all forms of transphobia, misogyny, homophobia, racism, fat-shaming, ableism, engaging in harrasment, insults, etc are strictly prohibited, and will be dealt with in due course. There is no tolerance on shit like this, accounts are suspended without talking, period.

- anticapitalist.party wasn't designed for sensitive militant operations. Such operations shouldn't be discussed here, and on any other social network.

- Our servers are under French jurisdiction. French laws do apply here. Illegal content will be deleted, and may lead to an account suspension.

- Porn is allowed, with NSFW tag on. Porn without that tag will be deleted.

- Content Warning HAS to be used for the following :
* violence (text and medias)
* stories including *phobias (text and medias)
* sexual content (text and medias)
Please remember to use the NSFW tags for all of the above, are medias are displayed enven with Content Warning on.

- Parody accounts are allowed, and are advised to specify that they are as such in their description or name.",58e2fced21ace530cfec9c67,"['en', 'fr']",anticapitalist.party,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",Anticapitalist instance. Registrations invite-only. More infos on https://anticapitalist.party/about/more.,Anticapitalism / leftism / intersectional feminism
40,['art'],"A social space for anyone in data, visualization, creative coding, and related arts and research. Share your work, discuss, critique, and ask for help! Come one, come all:

→ creative coders
→ data scientists and visualizers
→ generative artists
→ visual researchers, curators, and critics
→ anyone else data- or visualization-adjacent

If you are curious about the world and creativity, you are welcome here.",5a6811a863008a32652aff1f,['en'],vis.social,"['pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","A social space for anyone in data, visualization, creative coding, and related arts and research.",data code visualization arts design
41,['tech'],"For anyone who's interested in or working with Ruby, or related technologies. We want to be a friendly community of communities, discovering new people and welcoming them into the happiness that is programming with Ruby :-)

Discussions don't need to be about Ruby, but you'll get more out of this instance if that's one of your interests.",5b7c4b83a6abe47c06ef8979,['en'],ruby.social,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","This Mastodon instance is for people interested in Ruby, Rails, and Ruby-related topics.",ruby
42,"['adult', 'furry', 'lgbt']","Monsterpit is a small, friendly, and very queer community of monster and creature lovers.

We provide a relaxing space for folks to embrace strangeness with a love that spans from casual admiration to kinky teratophile.

Through monsters, we can express queer identity, sexuality, and spirituality in a world that often fears us.

Whether you love the strange or are the strange, you'll find a home here.",596381a67c6b064c7475e55c,['en'],monsterpit.net,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']","A queer community of monsters, creatures, and lovers of strangeness.","monsters, creatures, queer, kink, art, roleplay, general"
43,"['activism', 'lgbt']","Eldritch Café est une instance Mastodon se voulant accueillante pour les personnes queers, féministes et anarchistes ainsi que pour leurs sympathisant·e·s. Nous sommes principalement francophones, mais vous êtes les bienvenu·e·s quelque soit votre langue.

Les règles de Eldritch Café sont les suivantes :
1. Ne participez pas à du harcèlement, sous quelque forme que ce soit.
2. Ne rendez pas publiques des conversations privées, sauf à l’équipe de modération en cas de signalement.
3. Les injures raciales, sexistes ou oppressives en général vous vaudront d’être suspendu·e, même utilisé·e·s dans des conversations non-publiques.
4. Il est permis de poster de la pornographie ou de la nudité sur l’instance, mais seulement en marquant le contenu concerné comme sensible et en aucun cas sur un fil public.
5. Soyez gentil⋅les les un⋅es avec les autres.",5ad6908aef5dd72e9d37e06e,"['en', 'fr']",eldritch.cafe,"['nudity_nocw', 'pornography_nocw']","Eldritch Café est une instance Mastodon pour les personnes queers, féministes et anarchistes ainsi que pour leurs sympathisant·e·s.",
44,[],"sleeping.town is a cozy little Glitchsoc instance for people who like to sleep! We also offer email forwarding and will soon offer XMPP. We're especially friendly to users with multiple accounts, with a few custom-made features for that.",5a650dfd46fe0471227f1194,['en'],sleeping.town,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",sleeping.town is a cozy Glitchsoc instance for people who like to sleep!,
45,"['academia', 'adult', 'anime', 'art', 'books', 'games', 'music', 'tech']","""Don't be a dick"", and really don't push it",5a5a96ac619ced2ac329b27d,"['en', 'de']",layer8.space,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","Welcome to the 8th Layer of Madness. Every human is welcome. Topics are mostly Linux, Anime, Music, Software, ...",
46,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']","Hungarian (second) mastodon instance. Now its alpha stage. Mainly hungarian, some english. Lot of cats and unicorn.",5b7bb4a7a6abe47c06ef8971,"['en', 'hu']",mstdn.hu,"['illegalContentLinks', 'spam', 'advertising']",Second hungarian mastodon instance,
